"","Country","Happiness.Rank","Happiness.Score","Whisker.high","Whisker.low","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Generosity","Trust..Government.Corruption.","Dystopia.Residual","Region","Surface.area..km2.","Population.in.thousands..2017.","Population.density..per.km2..2017.","Sex.ratio..m.per.100.f..2017.","GDP..Gross.domestic.product..million.current.US..","GDP.growth.rate..annual....const..2005.prices.","GDP.per.capita..current.US..","Economy..Agriculture....of.GVA.","Economy..Industry....of.GVA.","Economy..Services.and.other.activity....of.GVA.","Employment..Agriculture....of.employed.","Employment..Industry....of.employed.","Employment..Services....of.employed.","Unemployment....of.labour.force.","Labour.force.participation..female.male.pop....","Agricultural.production.index..2004.2006.100.","Food.production.index..2004.2006.100.","International.trade..Exports..million.US..","International.trade..Imports..million.US..","International.trade..Balance..million.US..","Balance.of.payments..current.account..million.US..","Population.growth.rate..average.annual...","Urban.population....of.total.population.","Urban.population.growth.rate..average.annual...","Fertility.rate..total..live.births.per.woman.","Life.expectancy.at.birth..females.males..years.","Population.age.distribution..0.14...60..years....","International.migrant.stock..000...of.total.pop..","Refugees.and.others.of.concern.to.UNHCR..in.thousands.","Infant.mortality.rate..per.1000.live.births","Health..Total.expenditure....of.GDP.","Health..Physicians..per.1000.pop..","Education..Government.expenditure....of.GDP.","Education..Primary.gross.enrol..ratio..f.m.per.100.pop..","Education..Secondary.gross.enrol..ratio..f.m.per.100.pop..","Education..Tertiary.gross.enrol..ratio..f.m.per.100.pop..","Seats.held.by.women.in.national.parliaments..","Mobile.cellular.subscriptions..per.100.inhabitants.","Mobile.cellular.subscriptions..per.100.inhabitants..1","Individuals.using.the.Internet..per.100.inhabitants.","Threatened.species..number.","Forested.area....of.land.area.","CO2.emission.estimates..million.tons.tons.per.capita.","Energy.production..primary..Petajoules.","Energy.supply.per.capita..Gigajoules.","Pop..using.improved.drinking.water..urban.rural....","Pop..using.improved.sanitation.facilities..urban.rural....","Net.Official.Development.Assist..received....of.GNI."
"75","Hungary",75,5.32399988174438,5.40303970918059,5.24496005430818,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0784016624093056,0.0366369374096394,1.71645927429199,"EasternEurope","93024",9722,107.4,90.7,121715,"3.1",12350.6,"4.1",31.9,64,"4.3","29.8","65.9","4.5","46.6/62.4",99,99,"103071","92044","11027","3946","-0.3",71.2,"0.5","1.3","78.8/71.7","14.3/26.0","449.6/4.6","14.4","4.9",7.4,"3.3","4.7","101.3/101.9","105.3/105.1","56.7/45.3",10.1,"118.9","72.8",66,"22.8","42.1/4.3",423,97,"100.0/100.0","97.8/98.6","-99",-99
"76","Jamaica",76,5.31099987030029,5.58139872848988,5.04060101211071,0.925579309463501,1.36821806430817,0.641022384166718,0.474307239055634,0.233818337321281,0.0552677810192108,1.61232566833496,"Caribbean","10990",2890,266.9,99,14262,"1.0",5105.8,"7.1",22.3,70.5,"17.9","15.3","66.8","13.1","58.1/72.7",102,102,"1202","4767","-3565","-400","0.4",54.8,"0.9","2.1","77.9/73.1","22.7/13.6","23.2/0.8","~0.0","15.0",5.4,"...","5.5",".../...","85.1/79.2","34.6/20.1",17.5,"111.5","43.2",311,"31.0","7.4/2.7",8,37,"97.5/89.4","79.9/84.1","0.42",-99
"77","Croatia",77,5.29300022125244,5.39177720457315,5.19422323793173,1.22255623340607,0.96798300743103,0.701288521289825,0.255772292613983,0.248002976179123,0.0431031100451946,1.85449242591858,"SouthernEurope","56594",4189,74.9,93.1,48676,"1.6",11479.4,"4.1",26.6,69.3,"9.2","26.8","64.0","11.7","46.3/58.4",91,91,"13648","21830","-8182","2492","-0.4",59,"0.1","1.5","80.4/73.6","14.7/26.8","576.9/13.6","15.5","3.9",7.8,"3.1","4.6","98.1/97.8","100.6/95.9","79.8/58.8",19.9,"103.8","69.8",176,"34.3","16.8/4.0",182,79,"99.6/99.7","97.8/95.8","...",-99
"78","Kosovo",78,5.27899980545044,5.36484799548984,5.19315161541104,0.951484382152557,1.13785350322723,0.541452050209045,0.260287940502167,0.319931447505951,0.0574716180562973,2.01054072380066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","China",79,5.27299976348877,5.31927808977663,5.2267214372009,1.08116579055786,1.16083741188049,0.741415500640869,0.472787708044052,0.0288068410009146,0.0227942746132612,1.76493859291077,"EasternAsia","9600000",1409517,150.1,106.3,11158457,"6.9",8109.1,"9.2",41.1,49.7,"27.0","23.9","49.1","4.6","63.0/77.7",132,133,"2118981","1588696","530285","330602","0.5",55.6,"3.0","1.6","77.2/74.2","17.7/16.2","978.0/0.1","301.7","11.6",5.5,"1.5","-99","104.3/104.0","95.6/93.2","47.3/39.9",23.7,"93.2","50.3",1080,"22.0","10291.9/7.5",101394,87,"97.5/93.0","86.6/63.7","0.00",-99
"80","Pakistan",80,5.26900005340576,5.35998364135623,5.17801646545529,0.72688353061676,0.672690689563751,0.402047783136368,0.23521526157856,0.315446019172668,0.124348066747189,2.79248929023743,"SouthernAsia","796095",197016,255.6,105.6,266458,"5.5",1410.4,"25.5",19,55.5,"42.1","19.8","38.1","5.9","24.8/82.5",135,138,"20534","46998","-26464","-1603","2.1",38.8,"2.8","3.7","66.8/65.0","34.8/6.7","3629.0/1.9","2739.4","69.8",2.6,"0.8","2.6","85.2/99.7","39.2/49.5","9.2/10.6",20.6,"66.9","18.0",140,"2.0","166.3/0.9",2202,17,"93.9/89.9","83.1/51.1","1.32",-99
"81","Indonesia",81,5.26200008392334,5.35288859814405,5.17111156970263,0.995538592338562,1.27444469928741,0.492345720529556,0.443323463201523,0.611704587936401,0.0153171354904771,1.42947697639465,"South-easternAsia","1910931",263991,145.7,101.4,861934,"4.8",3346.5,"14.0",41.3,44.7,"31.4","22.4","46.2","5.8","51.0/83.7",139,140,"144490","135653","8837","-17697","1.2",53.7,"2.7","2.4","70.7/66.6","27.4/8.6","328.8/0.1","13.8","25.0",2.8,"0.2","3.6","104.4/107.2","86.0/85.7","25.7/22.9",19.8,"132.4","22.0",1281,"50.6","464.2/1.8",19481,35,"94.2/79.5","72.3/47.5","0.00",-99
"82","Venezuela",82,5.25,5.3700319455564,5.1299680544436,1.12843120098114,1.43133759498596,0.617144227027893,0.153997123241425,0.0650196298956871,0.0644911229610443,1.78946375846863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Montenegro",83,5.23699998855591,5.34104444056749,5.13295553654432,1.12112903594971,1.23837649822235,0.667464673519135,0.194989055395126,0.197911024093628,0.0881741940975189,1.72919154167175,"SouthernEurope","13812",629,46.8,97.4,4020,"4.5",6424.1,"9.8",17.5,72.6,"7.5","17.3","75.2","17.4","41.8/55.9",66,66,"354","2263","-1908","-533","0.1",64,"0.3","1.7","78.8/74.0","18.1/21.3","82.5/13.2","16.0","4.1",6.4,"2.3","-99","93.3/95.2","90.3/90.4",".../...",23.5,"162.2","64.6",98,"61.5","2.2/3.5",29,64,"100.0/99.2","98.0/92.2","2.44",-99
"84","Morocco",84,5.2350001335144,5.31834096476436,5.15165930226445,0.878114581108093,0.774864435195923,0.59771066904068,0.408158332109451,0.0322099551558495,0.0877631828188896,2.45618939399719,"NorthernAfrica","446550",35740,80.1,98.1,100359,"4.4",2919.3,"13.7",28.9,57.4,"32.6","20.7","46.8","10.4","25.6/74.5",130,130,"22858","41696","-18838","-2161","1.4",60.2,"2.3","2.6","76.0/73.7","27.4/10.7","88.5/0.3","6.4","28.1",5.9,"0.6","...","111.6/117.7","63.5/74.4","27.5/28.7",20.5,"126.9","57.1",207,"12.6","59.9/1.7",78,23,"98.7/65.3","84.1/65.5","1.51",-99
"85","Azerbaijan",85,5.23400020599365,5.29928653523326,5.16871387675405,1.15360176563263,1.15240025520325,0.540775775909424,0.398155838251114,0.0452693402767181,0.180987507104874,1.76248168945312,"WesternAsia","86600",9828,118.9,99.3,53049,"0.7",5438.7,"6.7",49.9,43.4,"36.7","14.2","49.1","5.2","62.0/68.8",131,136,"9143","8532","611","-222","1.3",54.6,"1.6","2.1","74.6/68.6","23.3/10.1","264.2/2.7","623.3","31.4",6,"3.4","2.6","105.6/107.4","-99","27.5/23.6",16.8,"111.3","77.0",97,"13.5","37.5/3.9",2459,61,"94.7/77.8","91.6/86.6","0.14",-99
"86","Dominican Republic",86,5.23000001907349,5.34906088516116,5.11093915298581,1.07937383651733,1.40241670608521,0.574873745441437,0.55258983373642,0.186967849731445,0.113945253193378,1.31946516036987,"Caribbean","48671",10767,222.8,99.2,67103,"7.0",6373.6,"6.6",28,65.4,"13.1","16.9","70.0","14.4","52.3/78.6",136,138,"3747","22725","-18978","-1335","1.2",79,"2.6","2.5","76.4/70.2","29.3/10.2","415.6/3.9","1.3","25.1",4.4,"1.5","...","98.7/108.1","81.7/74.1","65.0/35.4",26.8,"82.6","51.9",184,"40.4","21.5/2.1",28,28,"85.4/81.9","86.2/75.7","0.43",-99
"87","Greece",87,5.22700023651123,5.3252461694181,5.12875430360436,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,0,0.04328977689147,1.74922156333923,"SouthernEurope","131957",11160,86.6,96.9,194860,"-0.2",17788,"4.1",15.7,80.2,"12.9","15.0","72.1","23.0","44.1/60.1",86,87,"27811","47595","-19784","218","-0.4",78,"0.5","1.3","83.3/78.0","14.2/26.5","1242.5/11.3","94.7","3.3",8.1,"6.3","...","97.1/98.1","103.4/109.5","113.7/114.0",18.3,"114.0","66.8",374,"31.2","67.3/6.1",368,89,"100.0/100.0","99.2/98.1","-99",-99
"88","Lebanon",88,5.22499990463257,5.31888228848577,5.13111752077937,1.07498753070831,1.12962424755096,0.735081076622009,0.288515985012054,0.264450758695602,0.037513829767704,1.69507384300232,"WesternAsia","10452",6082,594.6,100.6,50149,"1.5",8571.4,"3.2",19.6,77.2,"8.2","22.4","69.4","7.0","23.8/70.6",95,95,"3402","20409","-17007","-8146","6.0",87.8,"3.2","1.7","80.9/77.3","23.1/12.0","1997.8/34.1","1054.2","9.2",6.4,"2.4","2.6","88.3/96.6","61.0/61.5","45.7/39.5",3.1,"87.1","74.0",87,"13.4","24.1/4.3",7,55,"99.0/99.0","80.7/80.7","2.04",-99
"89","Portugal",89,5.19500017166138,5.28504173308611,5.10495861023665,1.3151752948761,1.36704301834106,0.795843541622162,0.498465299606323,0.0951027125120163,0.0158694516867399,1.10768270492554,"SouthernEurope","92226",10330,112.8,89.8,199122,"1.6",19239.2,"2.3",22.3,75.4,"8.0","23.8","68.2","10.5","53.3/63.7",104,104,"55658","67580","-11922","842","-0.4",63.5,"1.0","1.3","83.5/77.3","13.6/27.9","837.3/8.1","1.8","2.9",9.5,"4.4","5.1","105.3/109.4","117.3/121.0","65.7/58.0",34.8,"110.4","68.6",281,"34.9","45.1/4.3",250,84,"100.0/100.0","99.6/99.8","-99",-99
"90","Bosnia and Herzegovina",90,5.18200016021729,5.27633568674326,5.08766463369131,0.982409417629242,1.0693359375,0.705186307430267,0.204403176903725,0.328867495059967,0,1.89217257499695,"SouthernEurope","51209",3507,68.8,96.4,16251,"3.1",4265,"7.3",26.5,66.2,"18.0","30.4","51.7","25.4","34.3/57.5",96,97,"5327","9130","-3803","-923","-1.0",39.8,"0.1","1.3","78.8/73.7","14.1/23.4","34.8/0.9","157.6","7.6",9.6,"1.9","-99","-99","-99","-99",21.4,"90.2","65.1",91,"42.7","22.2/5.8",252,85,"99.7/100.0","98.9/92.0","2.20",-99
"91","Honduras",91,5.18100023269653,5.30158279687166,5.0604176685214,0.730573117733002,1.14394497871399,0.582569479942322,0.348079860210419,0.236188873648643,0.0733454525470734,2.06581115722656,"CentralAmerica","112492",9265,82.8,99.4,20365,"3.6",2521.9,"13.0",25.1,61.9,"29.4","21.6","49.0","5.6","47.6/84.5",122,119,"3657","8448","-4791","-1291","1.8",54.7,"3.1","2.6","75.4/70.4","31.6/7.0","28.1/0.3","176.2","27.8",8.7,"...","5.9","110.1/111.3","77.0/64.8","25.4/18.8",25.8,"95.5","20.4",301,"42.1","9.5/1.2",105,28,"97.4/83.8","86.7/77.7","2.86",-99
"92","Macedonia",92,5.17500019073486,5.27217263966799,5.07782774180174,1.06457793712616,1.20789301395416,0.644948184490204,0.325905978679657,0.25376096367836,0.0602777935564518,1.6174693107605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Somalia",93,5.15100002288818,5.24248370990157,5.0595163358748,0.0226431842893362,0.721151351928711,0.113989137113094,0.602126955986023,0.291631311178207,0.282410323619843,3.11748456954956,"EasternAfrica","637657",14742,23.5,99.3,1559,"2.7",144.5,"60.2",7.4,32.5,"72.0","4.8","23.2","6.6","33.3/75.9",112,112,"925","530","394","-99","2.9",39.6,"4.1","6.6","56.5/53.3","46.4/4.4","25.3/0.2","1168.4","79.5",-99,"~0.0","-99",".../...",".../...","-99",24.2,"52.5","1.8",175,"10.3","0.6/0.1",129,12,"69.6/8.8","52.0/6.3","22.85",-99
"94","Vietnam",94,5.07399988174438,5.14728076457977,5.000718998909,0.788547575473785,1.27749133110046,0.652168989181519,0.571055591106415,0.234968051314354,0.0876332372426987,1.46231865882874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Nigeria",95,5.07399988174438,5.20950013548136,4.93849962800741,0.783756256103516,1.21577048301697,0.0569157302379608,0.394952565431595,0.230947196483612,0.0261215660721064,2.36539053916931,"WesternAfrica","923768",190886,209.6,102.7,494583,"2.7",2714.5,"20.9",20.4,58.8,"27.9","14.7","57.4","5.4","48.5/64.3",116,117,"104084","36533","67551","-15763","2.7",47.8,"4.7","5.7","52.6/51.2","44.0/4.5","1199.1/0.7","2437.5","76.3",3.7,"...","-99","92.8/94.5","53.5/57.8","8.3/11.8",5.6,"82.2","47.4",361,"8.1","96.3/0.6",10851,32,"80.8/57.3","32.8/25.4","0.52",-99
"96","Tajikistan",96,5.04099988937378,5.11142559587956,4.970574182868,0.524713635444641,1.27146327495575,0.529235124588013,0.471566706895828,0.248997643589973,0.146377146244049,1.84904932975769,"CentralAsia","142600",8921,63.7,100.9,7853,"4.2",925.9,"25.0",28,47.1,"57.2","13.4","29.4","10.8","59.6/77.9",155,172,"899","3030","-2132","-472","2.2",26.8,"2.6","3.5","73.5/67.7","35.3/5.8","275.1/3.2","21.8","38.9",6.9,"1.7","5.2","101.2/99.8","83.1/92.5","24.0/33.6",19,"98.6","19.0",45,"3.0","5.2/0.6",76,14,"93.1/66.7","93.8/95.5","4.55",-99
"97","Bhutan",97,5.01100015640259,5.07933456212282,4.94266575068235,0.885416388511658,1.34012651443481,0.495879292488098,0.501537680625916,0.474054545164108,0.173380389809608,1.14018440246582,"SouthernAsia","38394",808,21.2,113.1,2074,"5.2",2677.1,"17.2",43.9,38.8,"56.6","9.7","33.7","2.4","59.4/73.5",98,98,"616","1688","-1072","-579","1.6",38.6,"3.7","2.2","68.9/68.6","26.5/7.3","51.1/6.6","-99","30.5",3.6,"0.3","7.4","96.9/96.6","87.1/81.4","9.2/12.6",8.5,"87.1","39.8",71,"72.0","1.0/1.3",75,82,"100.0/100.0","77.9/33.1","5.26",-99
"98","Kyrgyzstan",98,5.00400018692017,5.08991990312934,4.91808047071099,0.596220076084137,1.39423859119415,0.553457796573639,0.454943388700485,0.42858037352562,0.0394391790032387,1.53672313690186,"CentralAsia","199949",6045,31.5,98.4,6572,"3.5",1106.4,"15.4",25.9,58.7,"29.2","21.0","49.8","7.7","49.7/77.5",108,110,"1423","3844","-2421","-721","1.6",35.7,"1.6","3.1","74.3/66.4","31.8/7.6","204.4/3.4","8.2","19.6",6.5,"1.9","5.5","106.8/107.9","92.8/91.4","53.3/40.8",19.2,"132.8","30.2",44,"3.4","9.6/1.7",80,27,"96.7/86.2","89.1/95.6","12.16",-99
"99","Nepal",99,4.96199989318848,5.06735607936978,4.85664370700717,0.479820191860199,1.17928326129913,0.504130780696869,0.440305948257446,0.394096165895462,0.0729755461215973,1.8912410736084,"SouthernAsia","147181",29305,204.4,94.3,20658,"2.7",724.5,"31.8",14.9,53.3,"72.6","10.9","16.5","3.0","79.7/86.7",139,139,"703","5249","-4547","2447","1.2",18.6,"3.2","2.3","70.4/67.4","30.9/8.8","518.3/1.8","30.7","32.8",5.8,"...","3.7","141.2/130.7","72.2/67.1","15.1/14.8",29.6,"96.8","17.6",104,"25.4","8.0/0.3",451,19,"90.9/91.8","56.0/43.5","5.73",-99
"100","Mongolia",100,4.95499992370605,5.0216795091331,4.88832033827901,1.02723586559296,1.4930112361908,0.557783484458923,0.394143968820572,0.338464230298996,0.0329022891819477,1.11129236221313,"EasternAsia","1564116",3076,2,97.9,11758,"2.3",3973.4,"14.8",34.1,51.1,"28.4","20.7","51.0","6.3","56.8/69.3",147,149,"4917","3358","1559","-948","1.9",72,"2.8","2.8","72.7/64.5","29.7/6.6","17.6/0.6","~0.0","22.8",4.7,"2.9","4.6","100.0/101.8","92.4/90.5","79.7/57.7",17.1,"105.0","21.4",41,"8.1","20.8/7.2",677,84,"66.4/59.2","66.4/42.6","2.21",-99
"101","South Africa",101,4.8289999961853,4.92943518772721,4.72856480464339,1.05469870567322,1.38478863239288,0.187080070376396,0.479246735572815,0.139362379908562,0.0725094974040985,1.51090860366821,"SouthernAfrica","1221037",56717,46.8,96.4,314571,"1.3",5773,"2.4",28.9,68.7,"6.1","26.2","67.7","26.0","46.4/61.1",125,126,"74111","74744","-633","-13644","1.4",64.8,"1.6","2.6","63.0/56.1","29.0/8.4","3142.5/5.8","1201.9","36.5",8.8,"0.8","6.0","97.3/102.2","111.5/88.0","23.3/15.7",42.2,"159.3","51.9",581,"7.6","489.8/9.1",7102,122,"99.6/81.4","69.6/60.5","0.47",-99
"102","Tunisia",102,4.80499982833862,4.88436700701714,4.72563264966011,1.00726580619812,0.868351459503174,0.613212049007416,0.289680689573288,0.0496933571994305,0.0867231488227844,1.89025115966797,"NorthernAfrica","163610",11532,74.2,97.6,41199,"0.8",3660.9,"10.3",27.8,62,"11.7","29.4","58.9","14.6","25.1/71.3",108,108,"13483","19456","-5973","-3850","1.2",66.8,"1.4","2.3","77.1/73.0","24.0/12.3","56.7/0.5","0.7","18.5",7,"1.6","6.3","112.5/115.8","94.2/90.0","43.3/26.2",31.3,"129.9","48.5",96,"6.6","28.8/2.6",274,39,"100.0/93.2","97.4/79.8","1.14",-99
"103","Palestinian Territories",103,4.77500009536743,4.88184834256768,4.66815184816718,0.716249227523804,1.15564715862274,0.565666973590851,0.25471106171608,0.114173173904419,0.0892826020717621,1.8788902759552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Egypt",104,4.7350001335144,4.82513378962874,4.64486647740006,0.989701807498932,0.997471392154694,0.520187258720398,0.282110154628754,0.128631442785263,0.114381365478039,1.70216107368469,"NorthernAfrica","1002000",97553,98,102.3,315917,"4.2",3452.3,"11.2",36.3,52.5,"25.4","25.3","49.3","11.5","23.1/76.2",120,122,"22507","58053","-35545","-16786","2.2",43.1,"1.7","3.4","73.0/68.7","33.5/7.9","491.6/0.5","256.5","18.9",5.6,"0.8","...","103.8/104.1","85.9/86.3","35.6/36.9",14.9,"111.0","35.9",156,"0.1","201.9/2.2",3509,36,"100.0/99.0","96.8/93.1","0.78",-99
"105","Bulgaria",105,4.71400022506714,4.80369470641017,4.62430574372411,1.1614590883255,1.43437945842743,0.708217680454254,0.289231717586517,0.113177694380283,0.0110515309497714,0.996139287948608,"EasternEurope","111002",7085,65.3,94.6,48953,"3.0",6846.8,"5.1",27.6,67.2,"6.5","29.4","64.1","8.1","48.5/60.1",117,119,"26088","28875","-2787","196","-0.6",73.9,"-0.3","1.5","77.8/70.8","14.2/27.7","102.1/1.4","33.7","8.3",8.4,"4.0","4.1","96.7/97.7","97.4/100.5","82.9/65.4",19.2,"129.3","56.7",104,"35.1","42.4/5.9",474,103,"99.6/99.0","86.8/83.7","-99",-99
"106","Sierra Leone",106,4.70900011062622,4.85064333498478,4.56735688626766,0.36842092871666,0.984136044979095,0.00556475389748812,0.318697690963745,0.293040901422501,0.0710951760411263,2.66845989227295,"WesternAfrica","72300",7557,104.7,98.1,4483,"-20.3",694.8,"51.4",17.6,31.1,"68.0","6.5","25.5","3.1","65.1/68.8",168,168,"466","958","-492","-1317","2.3",39.9,"2.7","4.8","50.7/49.6","42.1/4.2","91.2/1.4","0.8","94.4",11.1,"...","2.7","128.2/127.0","40.1/46.5",".../...",12.4,"89.5","2.5",177,"41.3","1.3/0.2",53,11,"84.9/47.8","22.8/6.9","21.56",-99
"107","Cameroon",107,4.69500017166138,4.79654085725546,4.5934594860673,0.564305365085602,0.946018218994141,0.132892116904259,0.430388748645782,0.236298456788063,0.0513066314160824,2.3336455821991,"MiddleAfrica","475650",24054,50.9,100.2,28416,"5.8",1217.3,"22.7",28.3,49.1,"61.8","8.7","29.5","4.6","71.1/81.2",155,160,"2130","4899","-2768","-1173","2.7",54.4,"3.6","5.0","57.7/55.1","42.7/4.8","382.0/1.6","544.9","67.5",4.1,"...","3.0","110.7/123.5","53.5/62.6","15.2/19.7",31.1,"71.8","20.7",775,"40.3","7.0/0.3",408,14,"94.8/52.7","61.8/26.8","2.31",-99
"108","Iran",108,4.69199991226196,4.79822470769286,4.58577511683106,1.15687310695648,0.711551249027252,0.639333188533783,0.249322608113289,0.387242913246155,0.048761073499918,1.49873495101929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Albania",109,4.64400005340576,4.75246400639415,4.53553610041738,0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,0.201312944293022,0.0398642159998417,1.49044156074524,"SouthernEurope","28748",2930,106.9,101.9,11541,"2.6",3984.2,"22.4",26,51.7,"41.4","18.3","40.3","15.8","40.2/61.0",134,134,"1962","4669","-2707","-1222","-0.1",57.4,"2.2","1.7","79.9/75.6","17.4/19.0","57.6/2.0","8.8","14.6",5.9,"1.3","3.5","111.7/115.5","92.5/98.8","68.1/48.7",22.9,"106.4","63.3",130,"28.2","5.7/2.0",84,36,"94.9/95.2","95.5/90.2","2.96",-99
"110","Bangladesh",110,4.60799980163574,4.68982165828347,4.52617794498801,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,0.172255352139473,0.123717859387398,1.97873616218567,"SouthernAsia","147570",164670,1265,101.7,194466,"6.6",1207.9,"15.5",28.1,56.3,"40.6","19.1","40.3","4.0","43.2/81.1",141,140,"36031","52624","-16593","2687","1.2",34.3,"3.6","2.2","72.9/69.8","28.4/7.3","1422.8/0.9","233.0","33.3",2.8,"0.4","1.9","125.1/116.0","67.4/59.8","11.4/15.4",20.3,"83.4","14.4",151,"11.0","73.2/0.5",1438,11,"86.5/87.0","57.7/62.1","1.24",-99
"111","Namibia",111,4.57399988174438,4.77035474091768,4.37764502257109,0.964434325695038,1.0984708070755,0.33861181139946,0.520303547382355,0.0771337449550629,0.0931469723582268,1.4818902015686,"SouthernAfrica","824116",2534,3.1,94.7,11491,"5.3",4673.6,"6.6",30.6,62.8,"29.1","14.6","56.3","24.9","56.4/64.3",88,89,"4816","6721","-1905","-1700","2.2",46.7,"4.2","3.6","64.3/59.1","36.7/5.5","93.9/3.8","4.8","36.4",-99,"...","...","109.5/113.3",".../...",".../...",41.3,"102.1","22.3",115,"8.5","3.8/1.6",19,31,"98.2/84.6","54.5/16.8","1.24",-99
"112","Kenya",112,4.55299997329712,4.65569159060717,4.45030835598707,0.560479462146759,1.06795072555542,0.309988349676132,0.452763766050339,0.444860309362411,0.0646413192152977,1.6519021987915,"EasternAfrica","591958",49700,87.3,98.8,63399,"5.6",1376.7,"32.0",19,49,"61.9","8.6","29.5","10.8","62.4/72.4",126,126,"5688","14109","-8420","-6339","2.7",25.6,"4.3","4.1","67.8/63.0","40.5/4.3","1084.4/2.4","582.4","39.4",5.7,"0.2","5.3","108.7/109.3",".../...",".../...",19.4,"80.7","45.6",480,"7.7","14.3/0.3",750,20,"81.6/56.8","31.2/29.7","3.93",-99
"113","Mozambique",113,4.55000019073486,4.77410232633352,4.3258980551362,0.234305649995804,0.870701014995575,0.106654435396194,0.480791091918945,0.322228103876114,0.179436385631561,2.35565090179443,"EasternAfrica","799380",29669,37.7,95.5,14806,"6.6",529.2,"24.6",21,54.4,"75.0","4.1","21.0","24.1","82.2/75.6",137,137,"3352","5295","-1943","-5833","2.9",32.2,"3.3","5.4","58.1/54.0","44.8/4.8","222.9/0.8","24.0","67.3",7,"0.1","6.5","101.2/110.4","31.1/33.8","5.4/7.4",39.6,"74.2","9.0",309,"48.5","8.4/0.3",779,20,"80.6/37.0","42.4/10.1","12.54",-99
"114","Myanmar",114,4.54500007629395,4.61473994642496,4.47526020616293,0.367110550403595,1.12323594093323,0.397522568702698,0.514492034912109,0.838075160980225,0.188816204667091,1.11529040336609,"South-easternAsia","676577",53371,81.7,95.5,62601,"7.3",1161.5,"26.7",34.5,38.7,"23.6","14.6","61.7","0.8","74.7/80.8",130,128,"11673","15696","-4023","-3921","0.9",34.1,"2.5","2.3","68.3/63.7","26.8/9.4","73.3/0.1","1392.1","45.0",2.3,"0.6","-99","98.3/101.0","52.0/50.6","14.9/12.1",10.2,"76.7","21.8",321,"45.3","21.6/0.4",1078,15,"92.7/74.4","84.3/77.1","2.23",-99
