"","Country","Happiness.Rank","Happiness.Score","Whisker.high","Whisker.low","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Generosity","Trust..Government.Corruption.","Dystopia.Residual","Region","Surface.area..km2.","Population.in.thousands..2017.","Population.density..per.km2..2017.","Sex.ratio..m.per.100.f..2017.","GDP..Gross.domestic.product..million.current.US..","GDP.growth.rate..annual....const..2005.prices.","GDP.per.capita..current.US..","Economy..Agriculture....of.GVA.","Economy..Industry....of.GVA.","Economy..Services.and.other.activity....of.GVA.","Employment..Agriculture....of.employed.","Employment..Industry....of.employed.","Employment..Services....of.employed.","Unemployment....of.labour.force.","Labour.force.participation..female.male.pop....","Agricultural.production.index..2004.2006.100.","Food.production.index..2004.2006.100.","International.trade..Exports..million.US..","International.trade..Imports..million.US..","International.trade..Balance..million.US..","Balance.of.payments..current.account..million.US..","Population.growth.rate..average.annual...","Urban.population....of.total.population.","Urban.population.growth.rate..average.annual...","Fertility.rate..total..live.births.per.woman.","Life.expectancy.at.birth..females.males..years.","Population.age.distribution..0.14...60..years....","International.migrant.stock..000...of.total.pop..","Refugees.and.others.of.concern.to.UNHCR..in.thousands.","Infant.mortality.rate..per.1000.live.births","Health..Total.expenditure....of.GDP.","Health..Physicians..per.1000.pop..","Education..Government.expenditure....of.GDP.","Education..Primary.gross.enrol..ratio..f.m.per.100.pop..","Education..Secondary.gross.enrol..ratio..f.m.per.100.pop..","Education..Tertiary.gross.enrol..ratio..f.m.per.100.pop..","Seats.held.by.women.in.national.parliaments..","Mobile.cellular.subscriptions..per.100.inhabitants.","Mobile.cellular.subscriptions..per.100.inhabitants..1","Individuals.using.the.Internet..per.100.inhabitants.","Threatened.species..number.","Forested.area....of.land.area.","CO2.emission.estimates..million.tons.tons.per.capita.","Energy.production..primary..Petajoules.","Energy.supply.per.capita..Gigajoules.","Pop..using.improved.drinking.water..urban.rural....","Pop..using.improved.sanitation.facilities..urban.rural....","Net.Official.Development.Assist..received....of.GNI."
"115","Senegal",115,4.53499984741211,4.6016037812829,4.46839591354132,0.479309022426605,1.17969191074371,0.409362852573395,0.377922266721725,0.183468893170357,0.115460447967052,1.78964614868164,"WesternAfrica","196712",15851,82.3,96.6,13633,"6.5",901.1,"15.5",24.1,60.4,"51.4","20.7","27.9","9.3","45.3/70.5",126,127,"2640","5478","-2838","-1348","3.0",43.7,"3.6","5.0","67.5/63.8","42.9/4.7","263.2/1.7","17.6","43.9",4.7,"...","7.4","86.9/77.6","49.1/50.2","7.8/12.9",42.7,"100.0","21.7",123,"43.2","8.9/0.6",77,11,"92.9/67.3","65.4/33.8","6.49",-99
"116","Zambia",116,4.51399993896484,4.64410550147295,4.38389437645674,0.636406779289246,1.00318729877472,0.257835894823074,0.461603492498398,0.249580144882202,0.0782135501503944,1.82670545578003,"EasternAfrica","752612",17094,23,98.5,21255,"2.9",1311.1,"8.2",32.3,59.5,"54.8","9.9","35.3","7.4","69.9/80.9",179,180,"6505","7442","-937","-768","3.0",40.9,"4.3","5.2","61.9/57.5","44.8/3.7","127.9/0.8","55.3","53.8",5,"0.2","...","104.0/103.3","-99","3.4/4.5",18,"74.5","21.0",88,"65.6","4.5/0.3",374,26,"85.6/51.3","55.6/35.7","3.96",-99
"117","Iraq",117,4.49700021743774,4.62259140968323,4.37140902519226,1.10271048545837,0.978613197803497,0.501180469989777,0.288555532693863,0.19963726401329,0.107215754687786,1.31890726089478,"WesternAsia","435052",38275,88.1,102.5,164234,"-2.4",4509,"4.6",58,37.4,"20.4","21.0","58.6","16.1","15.3/69.9",123,123,"27341","45831","-18490","4121","3.2",69.5,"3.0","4.6","71.4/67.0","40.4/5.0","353.9/1.0","4736.2","32.1",5.5,"0.9","-99",".../...",".../...",".../...",25.3,"93.8","17.2",72,"1.9","168.4/4.8",6744,58,"93.8/70.1","86.4/83.8","0.88",-99
"118","Gabon",118,4.46500015258789,4.5573617656529,4.37263853952289,1.1982102394104,1.1556202173233,0.356578588485718,0.312328577041626,0.0437853783369064,0.0760467872023582,1.32291626930237,"MiddleAfrica","267668",2025,7.9,105.6,13735,"3.9",7960.7,"3.8",54.5,41.7,"16.2","19.1","64.8","18.1","40.7/58.3",97,92,"2851","2930","-79","...","3.3",87.2,"2.7","4.0","65.8/63.1","35.9/6.4","268.4/15.6","2.9","40.8",3.4,"...","2.7","139.9/144.0","-99",".../...",17.1,"168.9","23.5",270,"88.5","5.2/3.1",559,64,"97.2/66.7","43.4/31.5","0.73",-99
"119","Ethiopia",119,4.46000003814697,4.54272867664695,4.377271399647,0.339233845472336,0.86466920375824,0.353409707546234,0.408842742443085,0.312650740146637,0.165455713868141,2.01574373245239,"EasternAfrica","1104300",104957,105,99.7,59917,"9.6",602.8,"40.5",16,43.5,"70.5","8.4","21.1","5.7","77.1/89.1",158,157,"1724","19121","-17397","...","2.6",19.5,"4.9","4.6","65.5/61.9","40.6/5.3","1072.9/1.1","745.7","45.8",4.9,"...","4.5","97.2/106.9","34.4/35.9","5.3/10.9",38.8,"42.8","11.6",148,"12.5","11.6/0.1",1308,15,"93.1/48.6","27.2/28.2","5.28",-99
"120","Sri Lanka",120,4.44000005722046,4.55344719231129,4.32655292212963,1.00985014438629,1.25997638702393,0.625130832195282,0.561213254928589,0.490863561630249,0.0736539661884308,0.419389247894287,"SouthernAsia","65610",20877,332.9,92.5,82316,"4.8",3973.7,"8.7",30.7,60.6,"27.4","25.9","46.6","5.2","30.4/75.0",120,122,"10546","19501","-8955","-2009","0.5",18.4,"0.8","2.1","78.0/71.2","24.0/14.9","38.7/0.2","44.2","8.2",3.5,"...","2.2","100.6/102.7","102.0/97.5","24.0/15.6",5.8,"112.8","30.0",587,"33.1","18.4/0.9",179,20,"98.5/95.0","88.1/96.7","0.53",-99
"121","Armenia",121,4.37599992752075,4.46673461228609,4.28526524275541,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0834880918264389,0.0266744215041399,1.5214991569519,"WesternAsia","29743",2930,102.9,88.8,10529,"3.0",3489.1,"19.0",28.3,52.8,"35.0","15.7","49.3","16.6","55.3/74.2",135,135,"1776","3230","-1455","-279","0.3",62.7,"-0.1","1.6","77.0/70.6","20.0/16.9","191.2/6.3","19.3","13.2",4.5,"2.8","2.8","98.5/98.5","89.0/88.1","46.9/41.6",9.9,"115.2","58.2",114,"11.7","5.5/1.8",48,46,"100.0/100.0","96.2/78.2","3.17",-99
"122","India",122,4.31500005722046,4.37152201749384,4.25847809694707,0.792221248149872,0.754372596740723,0.455427616834641,0.469987004995346,0.231538489460945,0.0922268852591515,1.5191171169281,"SouthernAsia","3287263",1339180,450.4,107.6,2116239,"7.6",1614.2,"17.0",29.7,53.2,"44.3","24.5","31.2","3.4","27.0/79.1",143,142,"260327","356705","-96378","-22457","1.2",32.7,"2.4","2.4","69.1/66.2","27.8/9.4","5241.0/0.4","211.1","41.3",4.7,"0.7","3.8","115.1/102.8","74.5/73.5","26.7/27.0",11.8,"78.8","26.0",1052,"23.7","2238.4/1.7",23103,27,"97.1/92.6","62.6/28.5","0.16",-99
"123","Mauritania",123,4.29199981689453,4.37716361626983,4.20683601751924,0.648457288742065,1.2720308303833,0.285349279642105,0.0960980430245399,0.201870024204254,0.136957004666328,1.65163731575012,"WesternAfrica","1030700",4420,4.3,101.6,5023,"1.2",1235,"20.9",41.7,37.4,"40.3","9.5","50.2","12.0","29.3/65.5",125,125,"1623","2174","-551","-1066","2.9",59.9,"3.5","4.9","64.1/61.2","39.9/5.0","138.2/3.4","69.0","68.0",3.8,"...","2.9","105.0/100.0","29.5/31.7","3.6/7.1",25.2,"89.3","15.2",86,"0.2","2.7/0.7",31,13,"58.4/57.1","57.5/13.8","5.02",-99
"124","Congo (Brazzaville)",124,4.29099988937378,4.41005350500345,4.17194627374411,0.808964252471924,0.832044363021851,0.28995743393898,0.435025870800018,0.120852127671242,0.0796181336045265,1.72413563728333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Georgia",125,4.28599977493286,4.37493396580219,4.19706558406353,0.950612664222717,0.57061493396759,0.649546980857849,0.309410035610199,0.0540088154375553,0.251666635274887,1.50013780593872,"WesternAsia","69700",3912,56.3,91.4,13965,"2.8",3491.4,"9.0",24.1,66.9,"44.7","11.2","44.1","11.4","57.9/79.0",85,86,"2114","7236","-5122","-1775","-1.4",53.6,"-0.1","2.0","77.0/68.5","19.2/20.8","168.8/4.2","274.1","11.2",7.4,"4.8","2.0","118.2/115.5","103.8/103.6","47.8/39.2",16,"129.0","45.2",120,"40.6","9.0/2.2",61,47,"100.0/100.0","95.2/75.9","3.30",-99
"126","Congo (Kinshasa)",126,4.28000020980835,4.35781083270907,4.20218958690763,0.0921023488044739,1.22902345657349,0.191407024860382,0.235961347818375,0.246455833315849,0.0602413564920425,2.22495865821838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Mali",127,4.19000005722046,4.26967071101069,4.11032940343022,0.476180493831635,1.28147339820862,0.169365674257278,0.306613743305206,0.183354198932648,0.104970246553421,1.66819095611572,"WesternAfrica","1240192",18542,15.2,100.2,13100,"7.6",744.3,"39.9",19.6,40.5,"56.7","14.7","28.6","8.1","50.5/82.3",154,157,"3030","2510","520","-676","2.9",39.9,"5.1","6.4","56.9/55.6","47.7/4.0","363.1/2.1","90.8","78.5",7,"...","3.7","72.1/79.3","36.8/45.6","4.1/9.6",8.8,"139.6","10.3",42,"3.9","1.4/0.1",55,4,"96.5/64.1","37.5/16.1","9.45",-99
"128","Ivory Coast",128,4.17999982833862,4.27518256321549,4.08481709346175,0.603048920631409,0.904780030250549,0.0486421696841717,0.447706192731857,0.201237469911575,0.130061775445938,1.84496426582336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Cambodia",129,4.16800022125244,4.27851781353354,4.05748262897134,0.601765096187592,1.00623834133148,0.429783403873444,0.633375823497772,0.385922968387604,0.0681059509515762,1.04294109344482,"South-easternAsia","181035",16005,90.7,95.3,18050,"7.0",1158.7,"28.2",29.4,42.3,"42.4","19.6","38.0","0.3","75.6/87.0",175,177,"13204","15313","-2109","-1657","1.6",20.7,"2.6","2.7","69.6/65.5","31.3/7.1","74.0/0.5","0.3","29.9",5.7,"0.2","1.9","116.2/117.1",".../...","11.8/14.3",20.3,"133.0","19.0",255,"54.3","6.7/0.4",178,17,"100.0/69.1","88.1/30.5","3.97",-99
"130","Sudan",130,4.13899993896484,4.34574716508389,3.9322527128458,0.65951669216156,1.21400856971741,0.290920823812485,0.0149958552792668,0.182317450642586,0.089847519993782,1.68706583976746,"NorthernAfrica","-99",40533,23,99.9,79546,"4.9",1977,"32.4",20.1,47.6,"32.9","20.4","46.7","13.4","24.4/72.2",-99,-99,"1797","7658","-5861","-5933","2.3",33.8,"2.5","4.8","65.1/62.1","40.8/5.5","503.5/1.3","3619.6","48.7",8.4,"3.1","...","66.6/74.1","41.5/43.9","16.8/15.8",30.5,"70.5","26.6",133,"-99","15.4/0.4",682,16,"-99","-99","1.09",-99
"131","Ghana",131,4.11999988555908,4.22270720854402,4.01729256257415,0.667224824428558,0.873664736747742,0.295637726783752,0.423026293516159,0.256923943758011,0.0253363698720932,1.57786750793457,"WesternAfrica","238537",28834,126.7,99.3,37156,"3.9",1355.6,"19.0",26.9,54.1,"41.9","14.2","43.8","5.9","75.7/78.8",144,144,"7221","11939","-4718","-2809","2.4",54,"3.4","4.2","62.6/60.7","38.5/5.3","399.5/1.5","27.3","46.5",3.6,"...","6.2","108.7/107.3","61.1/63.1","13.2/19.1",12.7,"129.7","23.5",238,"40.9","14.5/0.6",410,14,"92.6/84.0","20.2/8.6","4.81",-99
"132","Ukraine",132,4.09600019454956,4.18541010454297,4.00659028455615,0.89465194940567,1.39453756809235,0.575903952121735,0.122974775731564,0.270061463117599,0.0230294708162546,0.814382314682007,"EasternEurope","603500",44223,76.3,86,90615,"-9.9",2021.6,"14.0",26.3,59.7,"15.7","24.6","59.7","8.8","52.3/67.5",137,137,"36369","39184","-2815","-189","-0.5",69.7,"-0.3","1.5","76.0/66.1","15.5/23.2","4834.9/10.8","1644.8","8.8",7.1,"3.0","5.9","105.1/102.8","98.2/100.2","88.4/76.5",12.3,"144.0","49.3",102,"16.6","227.3/5.1",3203,98,"95.5/97.8","97.4/92.6","1.63",-99
"133","Uganda",133,4.08099985122681,4.19579996705055,3.96619973540306,0.381430715322495,1.12982773780823,0.217632606625557,0.443185955286026,0.325766056776047,0.057069718837738,1.526362657547,"EasternAfrica","241550",42863,214.5,99,25282,"5.4",647.7,"25.6",21.5,52.9,"72.0","7.4","20.5","2.4","82.3/87.7",93,90,"2755","3750","-996","-2353","3.4",16.1,"5.4","5.9","60.7/56.5","47.7/3.3","749.5/1.9","727.1","60.2",7.2,"...","2.2","110.9/108.9","22.1/24.3","4.2/5.4",34.3,"50.4","19.2",196,"11.0","5.2/0.1",409,12,"95.5/75.8","28.5/17.3","6.35",-99
"134","Burkina Faso",134,4.03200006484985,4.12405906438828,3.93994106531143,0.3502277135849,1.04328000545502,0.215844258666039,0.324367851018906,0.250864684581757,0.120328105986118,1.72721290588379,"WesternAfrica","272967",19193,70.2,99.5,11065,"4.1",611.1,"34.5",21.8,43.7,"80.0","4.9","15.1","2.9","76.5/90.5",131,134,"2019","3699","-1680","-998","3.0",29.9,"5.9","5.6","59.3/58.0","45.2/3.9","704.7/3.9","32.7","64.8",5,"~0.0","4.1","86.1/89.9","32.2/35.1","3.8/7.3",11,"80.6","11.4",31,"19.8","2.8/0.1",123,9,"97.5/75.8","50.4/6.7","9.11",-99
"135","Niger",135,4.02799987792969,4.11194681972265,3.94405293613672,0.161925330758095,0.993025004863739,0.26850500702858,0.36365869641304,0.228673845529556,0.138572946190834,1.87398338317871,"WesternAfrica","1267000",21477,17,100.6,7143,"3.6",359,"39.6",19.1,41.3,"62.3","14.4","23.3","2.7","40.4/89.2",148,148,"927","1861","-933","-1150","3.8",18.7,"5.1","7.4","59.5/57.6","50.2/4.2","189.3/1.0","312.5","65.8",6,"...","6.7","66.8/77.9","17.2/24.2","0.9/2.6",17,"46.5","2.2",34,"0.9","2.1/0.1",101,5,"100.0/48.6","37.9/4.6","12.26",-99
"136","Malawi",136,3.97000002861023,4.07747881740332,3.86252123981714,0.233442038297653,0.512568831443787,0.315089583396912,0.466914653778076,0.287170469760895,0.0727116540074348,2.08178615570068,"EasternAfrica","118484",18622,197.5,98.2,6420,"3.0",372.9,"26.1",16.6,57.3,"69.9","4.8","25.4","6.8","81.3/81.0",149,150,"875","1649","-774","-710","2.9",16.3,"3.8","4.9","63.1/58.2","44.0/4.3","215.2/1.2","25.7","66.5",11.4,"...","5.6","147.0/144.0","41.0/45.8","0.6/1.0",16.7,"35.3","9.3",176,"33.6","1.3/0.1",89,6,"95.7/89.1","47.3/39.8","16.53",-99
"137","Chad",137,3.93600010871887,4.0347115239501,3.83728869348764,0.438012987375259,0.953855872154236,0.0411347150802612,0.16234202682972,0.216113850474358,0.0535818822681904,2.07123804092407,"MiddleAfrica","1284000",14900,11.8,100.2,10009,"6.6",713,"25.4",39,35.6,"76.6","2.0","21.4","5.8","64.0/79.3",146,151,"1990","1371","619","-99","3.3",22.5,"3.4","6.3","52.8/50.5","47.1/4.0","517.0/3.7","512.3","91.2",3.6,"~0.0","2.8","88.0/114.6","14.0/30.7","1.1/5.7",12.8,"40.2","2.7",43,"4.0","0.7/~0.0",288,6,"71.8/44.8","31.4/6.5","5.74",-99
"138","Zimbabwe",138,3.875,3.97869964271784,3.77130035728216,0.375846534967422,1.08309590816498,0.196763753890991,0.336384207010269,0.189143493771553,0.0953753814101219,1.59797024726868,"EasternAfrica","390757",16530,42.7,95,13893,"1.1",890.4,"13.0",30.5,56.5,"67.5","7.3","25.2","5.0","78.0/87.5",99,98,"2832","5212","-2379","-1521","2.3",32.4,"2.3","4.0","59.0/56.1","41.2/4.2","398.9/2.6","308.6","46.5",6,"0.1","8.4","99.1/100.8","47.1/48.1","8.0/8.9",32.6,"84.8","16.4",89,"37.2","12.0/0.8",482,30,"97.0/67.3","49.3/30.8","6.00",-99
"139","Lesotho",139,3.80800008773804,4.04434397548437,3.5716561999917,0.521021246910095,1.19009518623352,0,0.390661299228668,0.157497271895409,0.119094640016556,1.42983531951904,"SouthernAfrica","30355",2233,73.6,94.4,2008,"2.8",940.6,"7.7",31.3,61,"39.7","20.0","40.3","27.5","59.7/74.6",101,100,"648","1727","-1079","-168","1.3",27.3,"3.0","3.3","54.7/50.1","35.4/6.7","6.6/0.3","~0.0","59.8",10.6,"...","...","104.0/107.0","62.0/45.7","11.7/8.0",25,"105.5","16.1",18,"1.6","2.5/1.2",31,28,"94.6/77.0","37.3/27.6","4.11",-99
"140","Angola",140,3.79500007629395,3.95164193540812,3.63835821717978,0.858428180217743,1.10441195964813,0.0498686656355858,0,0.097926490008831,0.0697203353047371,1.61448240280151,"MiddleAfrica","1246700",29784,23.9,96.2,117955,"3.0",4714.1,"6.8",51.2,42,"4.2","37.6","58.2","6.6","59.8/77.1",175,176,"21011","8790","12221","-10273","3.5",44.1,"5.0","6.0","63.0/57.4","46.8/4.0","106.8/0.4","45.7","65.4",3.3,"...","...","100.4/156.9","22.7/35.1","8.2/10.4",38.2,"60.8","12.4",146,"46.5","34.8/1.4",3902,25,"75.4/28.2","88.6/22.5","0.42",-99
"141","Afghanistan",141,3.79399991035461,3.87366141527891,3.71433840543032,0.401477217674255,0.581543326377869,0.180746778845787,0.106179520487785,0.311870932579041,0.0611578300595284,2.15080118179321,"SouthernAsia","652864",35530,54.4,106.3,20270,"-2.4",623.2,"23.3",23.3,53.3,"61.6","10.0","28.5","8.6","19.3/83.6",125,125,"1458","3568","-2110","-5121","3.2",26.7,"4.0","5.3","63.5/61.0","43.2/4.1","382.4/1.2","1513.1","68.6",8.2,"0.3","3.3","91.1/131.6","39.7/70.7","3.7/13.3",27.7,"61.6","8.3",42,"2.1","9.8/0.3",63,5,"78.2/47.0","45.1/27.0","21.43",-99
"142","Botswana",142,3.76600003242493,3.87412266626954,3.65787739858031,1.12209415435791,1.22155499458313,0.341755509376526,0.505196332931519,0.0993484482169151,0.0985831990838051,0.3779137134552,"SouthernAfrica","582000",2292,4,97.7,14391,"-0.3",6360.6,"2.4",33.4,64.2,"25.7","14.9","59.4","18.6","73.6/81.6",110,110,"7321","6103","1218","1120","1.8",57.4,"1.3","2.9","66.1/59.8","31.4/6.4","160.6/7.1","2.8","35.2",5.4,"0.4","...","105.8/109.4",".../...","27.7/19.2",9.5,"169.0","27.5",28,"19.3","7.0/3.2",47,44,"99.2/92.3","78.5/43.1","0.46",-99
"143","Benin",143,3.65700006484985,3.74578355133533,3.56821657836437,0.431085407733917,0.435299843549728,0.209930211305618,0.425962775945663,0.207948461174965,0.0609290152788162,1.88563096523285,"WesternAfrica","114763",11176,99.1,99.5,8476,"5.2",779.1,"23.2",24.9,51.9,"43.2","10.2","46.6","1.0","70.0/73.4",152,158,"410","2630","-2220","-885","2.8",44,"3.7","5.2","61.4/58.5","42.7/5.0","245.4/2.3","0.8","67.7",4.6,"0.1","4.4","123.7/134.2","46.8/66.7","8.4/22.4",7.2,"85.6","6.8",88,"38.7","6.3/0.6",96,17,"85.2/72.1","35.6/7.3","5.09",-99
"144","Madagascar",144,3.64400005340576,3.71431910589337,3.57368100091815,0.305808693170547,0.913020372390747,0.375223308801651,0.189196765422821,0.208732530474663,0.0672319754958153,1.58461260795593,"EasternAfrica","587295",25571,44,99.5,9739,"3.1",401.8,"24.9",18.4,56.7,"74.2","9.4","16.5","2.3","83.8/89.0",119,120,"2256","2965","-709","-622","2.7",35.1,"4.7","4.4","66.0/63.0","41.0/4.8","32.1/0.1","0.1","36.8",3,"0.1","2.1","148.9/148.9","38.1/38.8","4.6/5.0",19.2,"46.0","4.2",1324,"21.5","3.1/0.1",129,7,"81.6/35.3","18.0/8.7","7.05",-99
"145","Haiti",145,3.6029999256134,3.73471479773521,3.47128505349159,0.368610262870789,0.640449821949005,0.277321130037308,0.0303698573261499,0.489203780889511,0.0998721495270729,1.69716763496399,"Caribbean","27750",10981,398.4,97.8,8501,"1.7",793.7,"16.7",38.2,45.1,"46.9","12.6","40.6","12.9","62.0/71.7",163,166,"984","3316","-2332","-723","1.4",58.6,"3.8","3.1","64.4/60.2","33.0/7.3","39.5/0.4","1.9","46.9",7.6,"-99","-99","-99","-99","-99",2.6,"69.9","12.2",205,"3.5","2.9/0.3",136,16,"64.9/47.6","33.6/19.2","11.73",-99
"146","Yemen",146,3.59299993515015,3.69275031983852,3.49324955046177,0.591683447360992,0.93538224697113,0.310080915689468,0.249463722109795,0.104125209152699,0.0567674227058887,1.34560060501099,"WesternAsia","527968",28250,53.5,102.1,29688,"-28.1",1106.4,"14.7",36.9,48.4,"32.9","17.9","49.2","16.1","26.2/73.7",136,137,"570","6861","-6291","-3026","2.6",34.6,"4.0","4.4","65.6/62.8","39.9/4.6","344.1/1.3","3371.4","47.2",5.6,"0.3","...","88.9/105.7","39.5/57.4","6.1/13.7",0,"68.0","25.1",298,"1.0","22.7/0.9",668,12,"72.0/46.5","92.5/34.1","2.99",-99
"147","South Sudan",147,3.59100008010864,3.72553858578205,3.45646157443523,0.39724862575531,0.601323127746582,0.163486003875732,0.147062435746193,0.285670816898346,0.116793513298035,1.87956738471985,"EasternAfrica","658841",12576,20.6,100.4,13167,"2.0",1067,"4.6",58,37.4,"-99","-99","-99","...",".../...",-99,-99,"2389","750","1640","-935","3.3",18.8,"5.1","5.2","56.0/54.1","41.7/5.1","824.1/6.7","2231.2","77.7",2.7,"-99","1.8","53.1/74.9","6.6/12.3","-99",28.5,"23.9","17.9",49,"-99","1.5/0.1",337,2,"66.7/56.9","16.4/4.5","21.07",-99
"148","Liberia",148,3.53299999237061,3.65375626087189,3.41224372386932,0.119041793048382,0.872117936611176,0.229918196797371,0.332881182432175,0.26654988527298,0.0389482490718365,1.67328596115112,"WesternAfrica","111369",4732,49.1,101.8,2053,"0.3",455.9,"70.8",11.4,17.9,"45.3","11.7","43.0","4.1","57.9/64.1",104,121,"641","727","-86","-860","2.6",49.7,"3.4","4.8","61.6/59.8","41.8/4.9","113.8/2.5","22.1","59.0",10,"...","2.8","89.1/98.5","32.5/41.9","9.0/14.2",12.3,"81.1","5.9",172,"43.7","0.9/0.2",73,19,"88.6/62.6","28.0/5.9","61.73",-99
"149","Guinea",149,3.50699996948242,3.58442812889814,3.4295718100667,0.244549930095673,0.791244685649872,0.194129139184952,0.348587512969971,0.264815092086792,0.110937617719173,1.55231189727783,"WesternAfrica","245857",12717,51.8,100.6,8875,"0.1",703.9,"19.8",32.8,47.4,"69.7","7.4","22.9","6.8","79.4/85.1",130,131,"1753","2082","-329","-1240","2.3",37.2,"3.8","5.1","58.4/57.4","42.3/5.2","228.4/1.8","9.2","65.7",5.6,"...","3.2","83.8/98.6","30.7/46.8","6.7/14.9",21.9,"87.2","4.7",185,"26.0","2.4/0.2",113,12,"92.7/67.4","34.1/11.8","8.65",-99
"150","Togo",150,3.49499988555908,3.59403811171651,3.39596165940166,0.305444717407227,0.431882530450821,0.247105568647385,0.38042613863945,0.196896150708199,0.0956650152802467,1.83722925186157,"WesternAfrica","56785",7798,143.4,99.4,4086,"5.5",559.4,"45.7",19.7,34.6,"62.5","8.7","28.7","6.8","81.0/80.7",140,143,"715","1716","-1001","-461","2.6",40,"3.8","4.7","59.8/58.3","41.6/4.6","276.8/3.8","13.8","55.7",5.2,"...","5.2","118.5/125.1",".../...","6.4/14.9",17.6,"65.0","7.1",80,"3.8","2.6/0.4",111,20,"91.4/44.2","24.7/2.9","5.51",-99
"151","Rwanda",151,3.47099995613098,3.54303023353219,3.39896967872977,0.368745893239975,0.945707023143768,0.326424807310104,0.581843852996826,0.252756029367447,0.455220013856888,0.540061235427856,"EasternAfrica","26338",12208,494.9,96.2,8096,"6.9",697.3,"34.6",15.1,50.3,"75.0","7.2","17.8","2.4","86.1/83.3",139,139,"622","1778","-1157","-1099","2.5",28.8,"6.4","4.2","67.1/63.1","40.1/4.9","441.5/3.8","155.1","44.0",7.5,"...","3.6","133.4/131.7","38.2/35.2","6.9/9.1",61.3,"70.5","18.0",62,"19.2","0.8/0.1",84,8,"86.6/71.9","58.5/62.9","13.67",-99
"152","Syria",152,3.46199989318848,3.66366855680943,3.26033122956753,0.777153134346008,0.396102607250214,0.50053334236145,0.0815394446253777,0.493663728237152,0.151347130537033,1.06157350540161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Tanzania",153,3.34899997711182,3.46142975538969,3.23657019883394,0.511135876178741,1.04198980331421,0.364509284496307,0.390017777681351,0.354256361722946,0.0660351067781448,0.621130466461182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Burundi",154,2.90499997138977,3.07469033300877,2.73530960977077,0.091622568666935,0.629793584346771,0.151610791683197,0.0599007532000542,0.204435184597969,0.0841479450464249,1.68302416801453,"EasternAfrica","27830",10864,423.1,96.9,2735,"-4.1",244.6,"36.3",13.9,49.8,"91.1","2.6","6.3","1.7","84.6/82.7",109,122,"123","625","-502","-375","3.0",12.1,"5.7","6.0","58.0/54.2","45.0/4.4","286.8/2.6","103.2","77.8",7.5,"...","5.4","124.5/123.1","40.5/44.5","2.4/7.7",36.4,"46.2","4.9",61,"10.6","0.4/~0.0",56,6,"91.1/73.8","43.8/48.6","11.91",-99
"155","Central African Republic",155,2.69300007820129,2.86488426923752,2.52111588716507,0,0,0.0187726859003305,0.270842045545578,0.280876487493515,0.0565650761127472,2.06600475311279,"MiddleAfrica","622984",4659,7.5,97.3,1633,"4.8",333.2,"34.9",24.8,40.4,"72.2","4.3","23.4","6.9","71.9/84.6",114,113,"213","147","66","-99","0.4",40,"2.6","5.1","51.0/47.8","43.2/5.5","81.6/1.7","470.5","93.5",4.2,"...","1.2","79.8/107.3","11.8/23.0","1.5/4.1",8.6,"20.4","4.6",60,"35.6","0.3/0.1",19,5,"89.6/54.4","43.6/7.2","32.25",-99
